"race_m","income","income_q"
"White",12000,14.78
"White",12000,14.79
"White",12000,14.8
"White",12000,14.81
"White",12010,14.82
"White",12080,14.83
"White",12100,14.84
"White",12100,14.85
"White",12200,14.86
"White",12200,14.87
"White",12200,14.88
"White",12300,14.89
"White",12300,14.9
"White",12308.7160000001,14.91
"White",12400,14.92
"White",12400,14.93
"White",12498.572,14.94
"White",12500,14.95
"White",12500,14.96
"White",12500,14.97
"White",12500,14.98
"White",12500,14.99
"White",12500,15
"White",12500,15.01
"White",12586.476,15.02
"White",12600,15.03
"White",12600,15.04
"White",12650,15.05
"White",12700,15.06
"White",12700,15.07
"White",12800,15.08
"White",12800,15.09
"White",12800,15.1
"White",12900,15.11
"White",12900,15.12
"White",12900,15.13
"White",13000,15.14
"White",13000,15.15
"White",13000,15.16
"White",13000,15.17
"White",13000,15.18
"White",13000,15.19
"White",13000,15.2
"White",13000,15.21
"White",13000,15.22
"White",13000,15.23
"White",13000,15.24
"White",13000,15.25
"White",13000,15.26
"White",13000,15.27
"White",13000,15.28
"White",13000,15.29
"White",13000,15.3
"White",13000,15.31
"White",13000,15.32
"White",13000,15.33
"White",13000,15.34
"White",13000,15.35
"White",13000,15.36
"White",13000,15.37
"White",13000,15.38
"White",13000,15.39
"White",13100,15.4
"White",13100,15.41
"White",13100,15.42
"White",13181.4679999999,15.43
"White",13200,15.44
"White",13200,15.45
"White",13200,15.46
"White",13200,15.47
"White",13300,15.48
"White",13300,15.49
"White",13300,15.5
"White",13400,15.51
"White",13400,15.52
"White",13500,15.53
"White",13500,15.54
"White",13500,15.55
"White",13500,15.56
"White",13500,15.57
"White",13500,15.58
"White",13600,15.59
"White",13600,15.6
"White",13616.0179999999,15.61
"White",13700,15.62
"White",13700,15.63
"White",13800,15.64
"White",13800,15.65
"White",13800,15.66
"White",13900,15.67
"White",13900,15.68
"White",14000,15.69
"White",14000,15.7
"White",14000,15.71
"White",14000,15.72
"White",14000,15.73
"White",14000,15.74
"White",14000,15.75
"White",14000,15.76
"White",14000,15.77
"White",14000,15.78
"White",14000,15.79
"White",14000,15.8
"White",14000,15.81
"White",14000,15.82
"White",14000,15.83
"White",14000,15.84
"White",14000,15.85
"White",14000,15.86
"White",14000,15.87
"White",14000,15.88
"White",14000,15.89
"White",14000,15.9
"White",14000,15.91
"White",14000,15.92
"White",14000,15.93
"White",14000,15.94
"White",14000,15.95
"White",14000,15.96
"White",14000,15.97
"White",14000,15.98
"White",14060,15.99
"White",14100,16
"White",14100,16.01
"White",14200,16.02
"White",14200,16.03
"White",14209.7519999999,16.04
"White",14300,16.05
"White",14300,16.06
"White",14400,16.07
"White",14400,16.08
"White",14400,16.09
"White",14400,16.1
"White",14400,16.11
"White",14400,16.12
"White",14400,16.13
"White",14400,16.14
"White",14400,16.15
"White",14500,16.16
"White",14500,16.17
"White",14500,16.18
"White",14500,16.19
"White",14600,16.2
"White",14600,16.21
"White",14635.0360000001,16.22
"White",14700,16.23
"White",14760,16.24
"White",14800,16.25
"White",14800,16.26
"White",14900,16.27
"White",14900,16.28
"White",15000,16.29
"White",15000,16.3
"White",15000,16.31
"White",15000,16.32
"White",15000,16.33
"White",15000,16.34
"White",15000,16.35
"White",15000,16.36
"White",15000,16.37
"White",15000,16.38
"White",15000,16.39
"White",15000,16.4
"White",15000,16.41
"White",15000,16.42
"White",15000,16.43
"White",15000,16.44
"White",15000,16.45
"White",15000,16.46
"White",15000,16.47
"White",15000,16.48
"White",15000,16.49
"White",15000,16.5
"White",15000,16.51
"White",15000,16.52
"White",15000,16.53
"White",15000,16.54
"White",15000,16.55
"White",15000,16.56
"White",15000,16.57
"White",15000,16.58
"White",15000,16.59
"White",15000,16.6
"White",15000,16.61
"White",15000,16.62
"White",15000,16.63
"White",15000,16.64
"White",15000,16.65
"White",15000,16.66
"White",15000,16.67
"White",15000,16.68
"White",15000,16.69
"White",15000,16.7
"White",15000,16.71
"White",15000,16.72
"White",15000,16.73
"White",15000,16.74
"White",15000,16.75
"White",15000,16.76
"White",15000,16.77
"White",15000,16.78
"White",15000,16.79
"White",15000,16.8
"White",15000,16.81
"White",15000,16.82
"White",15000,16.83
"White",15000,16.84
"White",15000,16.85
"White",15000,16.86
"White",15000,16.87
"White",15000,16.88
"White",15000,16.89
"White",15000,16.9
"White",15000,16.91
"White",15000,16.92
"White",15000,16.93
"White",15000,16.94
"White",15000,16.95
"White",15000,16.96
"White",15000,16.97
"White",15000,16.98
"White",15000,16.99
"White",15000,17
"White",15000,17.01
"White",15000,17.02
"White",15000,17.03
"White",15000,17.04
"White",15000,17.05
"White",15000,17.06
"White",15000,17.07
"White",15000,17.08
"White",15000,17.09
"White",15000,17.1
"White",15000,17.11
"White",15000,17.12
"White",15000,17.13
"White",15000,17.14
"White",15000,17.15
"White",15050,17.16
"White",15100,17.17
"White",15100,17.18
"White",15200,17.19
"White",15200,17.2
"White",15200,17.21
"White",15300,17.22
"White",15300,17.23
"White",15358.312,17.24
"White",15400,17.25
"White",15400,17.26
"White",15400,17.27
"White",15500,17.28
"White",15500,17.29
"White",15500,17.3
"White",15500,17.31
"White",15600,17.32
"White",15600,17.33
"White",15600,17.34
"White",15600,17.35
"White",15600,17.36
"White",15600,17.37
"White",15600,17.38
"White",15620,17.39
"White",15700,17.4
"White",15700,17.41
"White",15800,17.42
"White",15800,17.43
"White",15800,17.44
"White",15900,17.45
"White",15900,17.46
"White",16000,17.47
"White",16000,17.48
"White",16000,17.49
"White",16000,17.5
"White",16000,17.51
"White",16000,17.52
"White",16000,17.53
"White",16000,17.54
"White",16000,17.55
"White",16000,17.56
"White",16000,17.57
"White",16000,17.58
"White",16000,17.59
"White",16000,17.6
"White",16000,17.61
"White",16000,17.62
"White",16000,17.63
"White",16000,17.64
"White",16000,17.65
"White",16000,17.66
"White",16000,17.67
"White",16000,17.68
"White",16000,17.69
"White",16000,17.7
"White",16000,17.71
"White",16000,17.72
"White",16000,17.73
"White",16000,17.74
"White",16000,17.75
"White",16000,17.76
"White",16000,17.77
"White",16000,17.78
"White",16100,17.79
"White",16100,17.8
"White",16200,17.81
"White",16200,17.82
"White",16200,17.83
"White",16270,17.84
"White",16300,17.85
"White",16300,17.86
"White",16400,17.87
"White",16400,17.88
"White",16500,17.89
"White",16500,17.9
"White",16500,17.91
"White",16500,17.92
"White",16500,17.93
"White",16600,17.94
"White",16600,17.95
"White",16600,17.96
"White",16700,17.97
"White",16700,17.98
"White",16700,17.99
"White",16800,18
"White",16800,18.01
"White",16800,18.02
"White",16800,18.03
"White",16800,18.04
"White",16800,18.05
"White",16900,18.06
"White",16900,18.07
"White",17000,18.08
"White",17000,18.09
"White",17000,18.1
"White",17000,18.11
"White",17000,18.12
"White",17000,18.13
"White",17000,18.14
"White",17000,18.15
"White",17000,18.16
"White",17000,18.17
"White",17000,18.18
"White",17000,18.19
"White",17000,18.2
"White",17000,18.21
"White",17000,18.22
"White",17000,18.23
"White",17000,18.24
